ID,name,password,job,role,permission
00001,Omon,00001,SDX研究所,研究員,管理職
00002,Hamashima,00002,SDX研究所,研究員,管理職
00003,Maenaka,00003,SDX研究所,研究員,管理職
00004,,00004,,,
00005,,00005,,,
00006,,00006,,,
00007,,00007,,,
00008,,00008,,,
00009,,00009,,,
00010,,00010,,,
00011,,00011,,,
00012,,00012,,,
00013,,00013,,,
00014,,00014,,,
00015,,00015,,,
00016,,00016,,,
00017,,00017,,,
00018,,00018,,,
00019,,00019,,,
00020,,00020,,,
00021,,00021,,,
00022,,00022,,,
00023,,00023,,,
00024,,00024,,,
00025,,00025,,,
00026,,00026,,,
00027,,00027,,,
00028,,00028,,,
00029,,00029,,,
00030,,00030,,,
00031,,00031,,,
00032,,00032,,,
00033,,00033,,,
00034,,00034,,,
00035,,00035,,,
00036,,00036,,,
00037,,00037,,,
00038,,00038,,,
00039,,00039,,,
00040,,00040,,,
00041,,00041,,,
00042,,00042,,,
00043,,00043,,,
00044,,00044,,,
00045,,00045,,,
00046,,00046,,,
00047,,00047,,,
00048,,00048,,,
00049,,00049,,,
00050,,00050,,,
00051,,00051,,,
00052,,00052,,,
00053,,00053,,,
00054,,00054,,,
00055,,00055,,,
00056,,00056,,,
00057,,00057,,,
00058,,00058,,,
00059,,00059,,,
00060,,00060,,,
00061,,00061,,,
00062,,00062,,,
00063,,00063,,,
00064,,00064,,,
00065,,00065,,,
00066,,00066,,,
00067,,00067,,,
00068,,00068,,,
00069,,00069,,,
00070,,00070,,,
00071,,00071,,,
00072,,00072,,,
00073,,00073,,,
00074,,00074,,,
00075,,00075,,,
00076,,00076,,,
00077,,00077,,,
00078,,00078,,,
00079,,00079,,,
00080,,00080,,,
00081,,00081,,,
00082,,00082,,,
00083,,00083,,,
00084,,00084,,,
00085,,00085,,,
00086,,00086,,,
00087,,00087,,,
00088,,00088,,,
00089,,00089,,,
00090,,00090,,,
00091,,00091,,,
00092,,00092,,,
00093,,00093,,,
00094,,00094,,,
00095,,00095,,,
00096,,00096,,,
00097,,00097,,,
00098,,00098,,,
00099,,00099,,,
00100,,00100,,,
